Problem Name,Difficulty,Patterns,Source Sheets,Link,Acceptance Rate,Tags
Largest Even Number,Easy,top-k-elements,leetcode-top-150,https://leetcode.com/problems/largest-even-number/,69.2%,
Vowel-Consonant Score,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/vowel-consonant-score/,54.1%,
Reverse String Prefix,Easy,linked-list-reversal,leetcode-top-150,https://leetcode.com/problems/reverse-string-prefix/,89.4%,
Minimum K to Reduce Array Within Limit,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-k-to-reduce-array-within-limit/,41.2%,
Smallest All-Ones Multiple,Medium,backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/smallest-all-ones-multiple/,46.8%,
Maximum Score of a Split,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-score-of-a-split/,51.5%,
Rotate Non Negative Elements,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/rotate-non-negative-elements/,47.7%,
Most Common Course Pairs,Hard,topological-sort,leetcode-top-150,https://leetcode.com/problems/most-common-course-pairs/,52.3%,
Mirror Distance of an Integer,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/mirror-distance-of-an-integer/,87.4%,
Last Remaining Integer After Alternating Deletion Operations,Hard,array-hashing,leetcode-top-150,https://leetcode.com/problems/last-remaining-integer-after-alternating-deletion-operations/,48.5%,
Minimum Number of Operations to Have Distinct Elements,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-number-of-operations-to-have-distinct-elements/,42%,
Maximum Sum of Three Numbers Divisible by Three,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximum-sum-of-three-numbers-divisible-by-three/,47.7%,
Absolute Difference Between Maximum and Minimum K Elements,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/absolute-difference-between-maximum-and-minimum-k-elements/,75.3%,
Reverse Words With Same Vowel Count,Medium,linked-list-reversal; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/reverse-words-with-same-vowel-count/,66.5%,
Minimum Cost to Make Two Binary Strings Equal,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-cost-to-make-two-binary-strings-equal/,38.5%,
Maximum Bitwise AND After Increment Operations,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-bitwise-and-after-increment-operations/,30.7%,
Count Routes to Climb a Rectangular Grid,Hard,dynamic-programming-1d; dynamic-programming-2d,leetcode-top-150,https://leetcode.com/problems/count-routes-to-climb-a-rectangular-grid/,23.5%,
Minimum Subarray Length With Distinct Sum At Least K,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/minimum-subarray-length-with-distinct-sum-at-least-k/,31.5%,
Maximum Subgraph Score in a Tree,Hard,tree-dfs; tree-bfs; graph-dfs; graph-bfs; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-subgraph-score-in-a-tree/,70.5%,
Sort Integers by Binary Reflection,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/sort-integers-by-binary-reflection/,60.7%,
Minimum Cost to Acquire Required Items,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-cost-to-acquire-required-items/,34.7%,
Total Score of Dungeon Runs,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/total-score-of-dungeon-runs/,30.3%,
Minimum Inversion Count in Subarrays of Fixed Length,Hard,sliding-window,leetcode-top-150,https://leetcode.com/problems/minimum-inversion-count-in-subarrays-of-fixed-length/,42.4%,
Minimum Cost to Merge Sorted Lists,Hard,binary-search; merge-intervals; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-cost-to-merge-sorted-lists/,33.6%,
Number of Alternating XOR Partitions,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/number-of-alternating-xor-partitions/,26.5%,
Count Elements With at Least K Greater Values,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/count-elements-with-at-least-k-greater-values/,31.1%,
Minimum Absolute Distance Between Mirror Pairs,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-absolute-distance-between-mirror-pairs/,44.2%,
Minimum Deletion Cost to Make All Characters Equal,Medium,backtracking,leetcode-top-150,https://leetcode.com/problems/minimum-deletion-cost-to-make-all-characters-equal/,54.9%,
Number of Prefix Connected Groups,Medium,graph-dfs,leetcode-top-150,https://leetcode.com/problems/number-of-prefix-connected-groups/,60.7%,
Concatenate Non-Zero Digits and Multiply by Sum II,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-ii/,24%,
Concatenate Non-Zero Digits and Multiply by Sum I,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-i/,55.7%,
Number of Effective Subsequences,Hard,dynamic-programming-2d,leetcode-top-150,https://leetcode.com/problems/number-of-effective-subsequences/,30.3%,
Maximum Score After Binary Swaps,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-score-after-binary-swaps/,34.9%,
Number of Centered Subarrays,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/number-of-centered-subarrays/,66.8%,
Total Waviness of Numbers in Range II,Hard,cyclic-sort; merge-intervals,leetcode-top-150,https://leetcode.com/problems/total-waviness-of-numbers-in-range-ii/,24.9%,
Minimum Number of Flips to Reverse Binary String,Easy,linked-list-reversal; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-number-of-flips-to-reverse-binary-string/,75.7%,
Final Element After Subarray Deletions,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/final-element-after-subarray-deletions/,39.7%,
Minimum Partition Score,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-partition-score/,33.8%,
Minimum Distance Between Three Equal Elements II,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-distance-between-three-equal-elements-ii/,65.2%,
Design Ride Sharing System,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/design-ride-sharing-system/,63.2%,
Minimum Moves to Equal Array Elements III,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-iii/,81.1%,
Minimum Distance Between Three Equal Elements I,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-distance-between-three-equal-elements-i/,60.4%,
Maximize Expression of Three Elements,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximize-expression-of-three-elements/,72.3%,
Count Stable Subarrays,Hard,sliding-window,leetcode-top-150,https://leetcode.com/problems/count-stable-subarrays/,32.1%,
Find Missing Elements,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/find-missing-elements/,82.8%,
Find Churn Risk Customers,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/find-churn-risk-customers/,47.9%,
Maximum Product of Three Elements After One Replacement,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximum-product-of-three-elements-after-one-replacement/,47%,
Complete Prime Number,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/complete-prime-number/,37.2%,
Minimum Operations to Make Binary Palindrome,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-make-binary-palindrome/,51.6%,
Longest Non-Decreasing Subarray After Replacing at Most One Element,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/longest-non-decreasing-subarray-after-replacing-at-most-one-element/,21.3%,
Number of Balanced Integers in a Range,Hard,cyclic-sort; merge-intervals,leetcode-top-150,https://leetcode.com/problems/number-of-balanced-integers-in-a-range/,34.7%,
Find Golden Hour Customers,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/find-golden-hour-customers/,35.1%,
Minimum String Length After Balanced Removals,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-string-length-after-balanced-removals/,78.4%,
Maximize Points After Choosing K Tasks,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximize-points-after-choosing-k-tasks/,59.8%,
Maximum Substrings With Distinct Start,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/maximum-substrings-with-distinct-start/,91.4%,
Lexicographically Smallest String After Deleting Duplicate Characters,Hard,cyclic-sort; graph-dfs; graph-bfs; backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/lexicographically-smallest-string-after-deleting-duplicate-characters/,18.9%,
Largest Prime from Consecutive Prime Sum,Medium,sliding-window; top-k-elements,leetcode-top-150,https://leetcode.com/problems/largest-prime-from-consecutive-prime-sum/,38.8%,
Maximize Sum of Squares of Digits,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximize-sum-of-squares-of-digits/,59%,
Stable Subarrays With Equal Boundary and Interior Sum,Medium,sliding-window; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/stable-subarrays-with-equal-boundary-and-interior-sum/,25.9%,
Smallest Missing Multiple of K,Easy,backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/smallest-missing-multiple-of-k/,63.1%,
Maximum Capacity Within Budget,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximum-capacity-within-budget/,19.8%,
Maximum Alternating Sum of Squares,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximum-alternating-sum-of-squares/,61%,
Lexicographically Smallest Negated Permutation that Sums to Target,Medium,graph-dfs; graph-bfs; backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/lexicographically-smallest-negated-permutation-that-sums-to-target/,30.7%,
Count Subarrays With Majority Element II,Hard,sliding-window; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-majority-element-ii/,44.2%,
Count Subarrays With Majority Element I,Medium,sliding-window; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-majority-element-i/,65%,
Lexicographically Smallest String After Reverse,Medium,linked-list-reversal; graph-dfs; graph-bfs; backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/lexicographically-smallest-string-after-reverse/,54.7%,
Total Sum of Interaction Cost in Tree Groups,Hard,tree-dfs; tree-bfs,leetcode-top-150,https://leetcode.com/problems/total-sum-of-interaction-cost-in-tree-groups/,53.5%,
Word Squares II,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/word-squares-ii/,54.8%,
Count Ways to Choose Coprime Integers from Rows,Hard,array-hashing,leetcode-top-150,https://leetcode.com/problems/count-ways-to-choose-coprime-integers-from-rows/,48.3%,
Sum of Elements With Frequency Divisible by K,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/sum-of-elements-with-frequency-divisible-by-k/,77.4%,
Design Auction System,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/design-auction-system/,41.8%,
Minimum Deletions to Make Alternating Substring,Hard,sliding-window,leetcode-top-150,https://leetcode.com/problems/minimum-deletions-to-make-alternating-substring/,44.6%,
Count Distinct Subarrays Divisible by K in Sorted Array,Hard,sliding-window; binary-search; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/count-distinct-subarrays-divisible-by-k-in-sorted-array/,27.3%,
House Robber V,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/house-robber-v/,52.4%,
Minimum Swaps to Avoid Forbidden Values,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-swaps-to-avoid-forbidden-values/,30.1%,
Design Exam Scores Tracker,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/design-exam-scores-tracker/,43.9%,
Compute Alternating Sum,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/compute-alternating-sum/,89.6%,
Total Waviness of Numbers in Range I,Medium,cyclic-sort; merge-intervals,leetcode-top-150,https://leetcode.com/problems/total-waviness-of-numbers-in-range-i/,80.4%,
Longest Balanced Substring II,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/longest-balanced-substring-ii/,42.1%,
Longest Balanced Substring I,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/longest-balanced-substring-i/,69.7%,
Count Distinct Integers After Removing Zeros,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/count-distinct-integers-after-removing-zeros/,22.3%,
Majority Frequency Characters,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/majority-frequency-characters/,67.1%,
Equal Score Substrings,Easy,sliding-window; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/equal-score-substrings/,56.7%,
Remove Zeros in Decimal Representation,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/remove-zeros-in-decimal-representation/,76.3%,
Count No-Zero Pairs That Sum to N,Hard,array-hashing,leetcode-top-150,https://leetcode.com/problems/count-no-zero-pairs-that-sum-to-n/,14.2%,
Minimum Time to Complete All Deliveries,Medium,backtracking,leetcode-top-150,https://leetcode.com/problems/minimum-time-to-complete-all-deliveries/,34.3%,
Longest Balanced Subarray II,Hard,sliding-window,leetcode-top-150,https://leetcode.com/problems/longest-balanced-subarray-ii/,33.8%,
Longest Balanced Subarray I,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/longest-balanced-subarray-i/,65.7%,
Find Zombie Sessions,Hard,array-hashing,leetcode-top-150,https://leetcode.com/problems/find-zombie-sessions/,48.1%,
Minimum Operations to Transform Array,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-transform-array/,39.3%,
Climbing Stairs II,Medium,dynamic-programming-1d,leetcode-top-150,https://leetcode.com/problems/climbing-stairs-ii/,64%,
Compute Decimal Representation,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/compute-decimal-representation/,64.5%,
Lexicographically Smallest Palindromic Permutation Greater Than Target,Hard,graph-dfs; graph-bfs; backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/lexicographically-smallest-palindromic-permutation-greater-than-target/,24.8%,
Maximum Partition Factor,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-partition-factor/,31%,
Longest Subsequence With Non-Zero Bitwise XOR,Medium,dynamic-programming-2d; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/longest-subsequence-with-non-zero-bitwise-xor/,37.1%,
Longest Strictly Increasing Subsequence With Non-Zero Bitwise AND,Medium,dynamic-programming-2d; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/longest-strictly-increasing-subsequence-with-non-zero-bitwise-and/,50.9%,
Maximize Cyclic Partition Score,Hard,cyclic-sort; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximize-cyclic-partition-score/,12.1%,
Number of Stable Subsequences,Hard,dynamic-programming-2d,leetcode-top-150,https://leetcode.com/problems/number-of-stable-subsequences/,60.1%,
Find Loyal Customers,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/find-loyal-customers/,61.4%,
Count Binary Palindromic Numbers,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/count-binary-palindromic-numbers/,33.7%,
Minimum Operations to Equalize Subarrays,Hard,sliding-window,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-equalize-subarrays/,19.3%,
Distinct Points Reachable After Substring Removal,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/distinct-points-reachable-after-substring-removal/,53.8%,
Lexicographically Smallest Permutation Greater Than Target,Medium,graph-dfs; graph-bfs; backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/lexicographically-smallest-permutation-greater-than-target/,26.5%,
Remove K-Balanced Substrings,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/remove-k-balanced-substrings/,32.4%,
Minimum Moves to Balance Circular Array,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-moves-to-balance-circular-array/,40.1%,
Split Array With Minimum Difference,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/split-array-with-minimum-difference/,33.5%,
Earliest Time to Finish One Task,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/earliest-time-to-finish-one-task/,84.3%,
Smallest Absent Positive Greater Than Average,Easy,backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/smallest-absent-positive-greater-than-average/,34.1%,
Maximize Alternating Sum Using Swaps,Hard,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximize-alternating-sum-using-swaps/,64%,
Bitwise OR of Even Numbers in an Array,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/bitwise-or-of-even-numbers-in-an-array/,84.7%,
Restore Finishing Order,Easy,topological-sort; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/restore-finishing-order/,91%,
Maximum Total Subarray Value II,Hard,sliding-window,leetcode-top-150,https://leetcode.com/problems/maximum-total-subarray-value-ii/,21.9%,
Maximum Total Subarray Value I,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/maximum-total-subarray-value-i/,64.3%,
Longest Fibonacci Subarray,Medium,sliding-window; dynamic-programming-1d,leetcode-top-150,https://leetcode.com/problems/longest-fibonacci-subarray/,69.4%,
Count Bowl Subarrays,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/count-bowl-subarrays/,47.8%,
Minimum Operations to Transform String,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-transform-string/,61.8%,
Minimum Operations to Equalize Array,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-equalize-array/,60%,
Maximize Sum of At Most K Distinct Elements,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximize-sum-of-at-most-k-distinct-elements/,76.5%,
Find Books with Polarized Opinions,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/find-books-with-polarized-opinions/,41.5%,
GCD of Odd and Even Sums,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/gcd-of-odd-and-even-sums/,84.7%,
Find The Least Frequent Digit,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/find-the-least-frequent-digit/,69.7%,
Generate Schedule,Medium,backtracking,leetcode-top-150,https://leetcode.com/problems/generate-schedule/,23.8%,
Maximum XOR of Subsequences,Hard,dynamic-programming-2d; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-xor-of-subsequences/,51.2%,
Sum of Beautiful Subsequences,Hard,dynamic-programming-2d,leetcode-top-150,https://leetcode.com/problems/sum-of-beautiful-subsequences/,31.1%,
Maximum Path Score in a Grid,Medium,graph-dfs; dynamic-programming-2d; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-path-score-in-a-grid/,36.5%,
Minimum Operations to Equalize Binary String,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-equalize-binary-string/,20.3%,
Flood Fill,Easy,array-hashing,grind75,https://leetcode.com/problems/flood-fill/,N/A,
Implement Queue using Stacks,Easy,tree-bfs; monotonic-stack,grind75,https://leetcode.com/problems/implement-queue-using-stacks/,N/A,
First Bad Version,Easy,array-hashing,grind75,https://leetcode.com/problems/first-bad-version/,N/A,
Ransom Note,Easy,array-hashing,grind75,https://leetcode.com/problems/ransom-note/,N/A,
Longest Palindrome,Easy,array-hashing,grind75,https://leetcode.com/problems/longest-palindrome/,N/A,
Majority Element,Easy,bit-manipulation,grind75; striver-a2z,https://leetcode.com/problems/majority-element/,N/A,
Add Binary,Easy,bit-manipulation,grind75,https://leetcode.com/problems/add-binary/,N/A,
Middle of the Linked List,Easy,fast-slow-pointers,grind75; striver-a2z,https://leetcode.com/problems/middle-of-the-linked-list/,N/A,
01 Matrix,Medium,dynamic-programming-2d,grind75,https://leetcode.com/problems/01-matrix/,N/A,
Lowest Common Ancestor of a Binary Tree,Medium,tree-dfs; tree-bfs; bit-manipulation,grind75,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,N/A,
Accounts Merge,Medium,merge-intervals,grind75,https://leetcode.com/problems/accounts-merge/,N/A,
Sort Colors,Medium,bit-manipulation,grind75; striver-a2z,https://leetcode.com/problems/sort-colors/,N/A,
Kadanes Algorithm,Medium,bit-manipulation,striver-a2z,https://leetcode.com/problems/kadanes-algorithm/,N/A,
Merge Sorted Array,Easy,binary-search; merge-intervals; bit-manipulation,striver-a2z,https://leetcode.com/problems/merge-sorted-array/,N/A,
Majority Element II,Medium,bit-manipulation,striver-a2z,https://leetcode.com/problems/majority-element-ii/,N/A,
Reverse Pairs,Hard,linked-list-reversal,striver-a2z,https://leetcode.com/problems/reverse-pairs/,N/A,
4Sum,Medium,array-hashing,striver-a2z,https://leetcode.com/problems/4sum/,N/A,
Largest Subarray With Zero Sum,Medium,sliding-window; top-k-elements,striver-a2z,https://leetcode.com/problems/largest-subarray-with-zero-sum/,N/A,
Count Inversions,Medium,array-hashing,striver-a2z,https://leetcode.com/problems/count-inversions/,N/A,
Delete Node in a Linked List,Medium,array-hashing,striver-a2z,https://leetcode.com/problems/delete-node-in-a-linked-list/,N/A,
Palindrome Linked List,Easy,array-hashing,striver-a2z,https://leetcode.com/problems/palindrome-linked-list/,N/A,
Linked List Cycle II,Medium,array-hashing,striver-a2z,https://leetcode.com/problems/linked-list-cycle-ii/,N/A,
Intersection of Two Linked Lists,Easy,array-hashing,striver-a2z,https://leetcode.com/problems/intersection-of-two-linked-lists/,N/A,
Rotate List,Medium,array-hashing,striver-a2z,https://leetcode.com/problems/rotate-list/,N/A,
Flatten a Multilevel Doubly Linked List,Medium,tree-bfs; graph-bfs,striver-a2z,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,N/A,
